sample_id,study_id,timepoint,arm,Prevotella,Bifidobacterium,Lactobacillus,Clostridium,Faecalibacterium,Lachnospiraceae_unclassified,Ruminococcus,Dorea,Blautia,Roseburia,Eubacterium,Firmicutes_unclassified,Succinatimonas,Dialister,Coprococcus,Streptococcus,Escherichia,Collinsella,Bacteroides,Megasphaera
ST-30115-PW,PW:1512,32wk,Arm A,20.87233,7.35504,0.14104,13.67366,2.59653,0.11803,12.18051,1.50248,3.58666,0.96056,1.8683,6.4829,1.43111,2.59046,0.7046,0.00778,0.75338,1.24907,2.20021,0.30425
ST-30116-PW,PW:1500,32wk,Arm D,35.6568,21.32471,5.50928,3.26348,3.73486,3.48488,1.0511,2.11031,1.07938,2.32992,0.64041,2.60291,4.19854,2.49279,0.9763,0.61327,0.98722,1.32228,0.3035,1.11209
ST-30117-PW,PW:1506,32wk,Arm C,44.60859,7.14349,2.63497,2.35332,3.5931,2.46074,3.74146,5.43785,4.85358,4.5079,3.72247,0.70411,0.0,2.77049,1.61074,3.61275,0.27072,0.41003,0.26424,0.04894
ST-30118-PW,PW:1508,32wk,Arm C,65.41052,2.91045,0.00118,0.47689,3.04574,8.96464,0.10891,2.16148,2.55259,5.82301,0.69409,0.01839,0.0,1.20468,0.95639,0.01493,0.09879,0.85086,0.0,0.29715
ST-30119-PW,PW:1517,32wk,Arm A,5.51314,18.73358,0.01178,5.24553,5.33985,4.13058,8.15803,4.31257,6.75196,2.2372,0.91744,4.0527,0.44792,5.79625,1.63378,0.07569,0.35798,0.99781,8.03381,0.27437
ST-30120-PW,PW:1524,32wk,Arm B,67.79961,8.58198,6.73923,0.50834,1.69394,2.77679,0.0664,1.2305,1.02247,3.74775,0.61668,0.01398,0.0,0.86303,0.42354,0.04641,0.0,0.1269,0.11852,0.0
ST-30121-PW,PW:1570,32wk,Arm B,9.36003,31.77934,5.35443,4.59386,3.90631,6.44639,1.18966,5.44304,7.04838,1.96887,1.84283,3.24485,0.0,3.49461,1.32449,0.0893,0.0,2.16793,0.17143,1.1534
ST-30122-PW,PW:1528,32wk,Arm D,40.42565,1.04409,1.20741,3.27849,4.65273,16.57439,0.25586,2.31345,9.23678,2.42864,1.72308,0.01491,4.76184,2.33634,1.13435,1.34872,0.23384,0.7244,0.11125,0.0
ST-30123-PW,PW:1585,32wk,Arm D,10.42909,14.74465,9.26601,1.74382,6.10217,11.96372,1.7234,9.21632,5.5507,4.42529,3.52072,1.24563,0.81611,3.27371,2.98906,0.16297,2.91884,2.43062,0.04686,0.51282
ST-30124-PW,PW:1496,32wk,Arm B,44.41609,22.46258,4.29965,0.7634,4.81242,0.97454,0.26192,3.09574,2.82762,2.73937,1.10072,0.0247,0.0,3.04905,0.60943,0.14452,0.10724,2.38091,0.17152,1.83275
ST-30125-PW,PW:1582,32wk,Arm A,29.82838,25.84481,0.35686,2.57095,5.11334,4.27195,2.3494,5.45326,2.81758,7.51765,1.7583,1.29646,0.03749,2.80575,1.55595,0.42819,0.34665,0.61892,0.26742,0.30431
ST-30126-PW,PW:1523,32wk,Arm D,28.54201,22.12001,3.57688,4.07158,3.75117,0.92261,2.35541,2.1917,2.16738,6.80157,3.02388,1.59386,0.13749,3.30947,1.48698,0.07633,0.26376,0.82261,1.82605,0.25189
ST-30127-PW,PW:1525,32wk,Arm B,38.54858,6.68474,10.93516,1.55004,5.32597,9.61526,3.15766,3.90945,6.21062,2.1203,1.60086,0.42812,0.62839,2.12203,0.83476,1.51102,0.0,0.69115,0.13743,0.0
ST-30129-PW,PW:1596,32wk,Arm C,4.24329,33.14811,17.60412,15.61525,5.27479,0.18553,1.87587,3.19038,1.88397,0.30571,1.46469,1.24379,0.0,2.60782,1.77388,0.0349,0.15255,4.1422,0.18351,0.0
ST-30130-PW,PW:1621,32wk,Arm D,24.74374,4.58892,0.20794,1.71956,8.01271,1.74892,0.88592,2.77469,24.31484,9.74678,6.15697,1.26374,0.0,0.88082,2.33081,0.03714,0.0,1.34776,0.0681,0.0
ST-30131-PW,PW:1614,32wk,Arm A,12.81958,35.87244,23.48402,0.6698,6.94927,3.41136,0.25772,2.89833,2.21868,0.87421,2.32228,0.18549,0.0,1.95934,1.20769,0.57416,0.01216,0.31107,0.00164,0.32365
ST-30132-PW,PW:1622,32wk,Arm B,2.7199,26.94121,1.78213,0.59148,7.02914,31.45984,0.9421,5.41397,4.2958,0.78457,1.33394,0.56472,6.77343,1.18201,0.0,0.0,0.0,0.4222,0.46553,0.0
ST-30133-PW,PW:1565,32wk,Arm C,15.24034,30.61329,18.93887,0.69317,2.5449,2.25219,0.18558,3.4618,0.50089,0.36339,0.05129,0.0,0.0,3.55229,0.33679,0.38309,0.0161,1.63562,0.00167,17.49866
ST-30134-PW,PW:1539,32wk,Arm C,2.1146,85.25835,0.00087,0.00448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17803,11.95458,0.0,0.0371,0.0
ST-30135-PW,PW:1625,32wk,Arm A,2.14247,11.03506,0.01239,4.47418,9.12743,0.96127,6.37495,10.30873,22.496,5.6931,3.29528,2.92785,0.3032,2.02173,2.15672,0.1826,0.06858,1.15428,0.41125,0.0
ST-30136-PW,PW:1599,32wk,Arm B,6.14211,46.32557,24.33072,0.02068,2.79483,2.80737,0.18208,1.90941,1.67722,1.28323,1.15289,0.16131,0.13147,1.78607,0.48836,0.20804,0.4751,0.77913,0.02974,3.13162
ST-30137-PW,PW:1635,32wk,Arm A,20.11438,36.65177,3.53779,1.36387,4.3271,2.95102,1.03835,2.65032,2.87238,3.04605,1.3447,1.28477,2.67648,1.94786,1.25923,0.89006,4.61777,2.03927,0.36192,0.82048
ST-30138-PW,PW:1636,32wk,Arm C,3.52943,24.34419,1.77065,6.66987,2.34972,0.47803,4.16049,11.02502,3.78165,0.87148,3.35556,12.06911,0.0,8.18419,2.67977,0.07852,0.08387,6.46166,0.2962,0.77387
